Review,Date,page_number
"premium sound quality well balanced ,ANC works fine , very comfortable buds doesn't fall while running, fast charging battery, everything is perfect",14 July 2025,1
"This is not just a bad product – it’s an insult to customers. I’ve used local roadside ₹500 earbuds that sound 10 times better than this garbage. The volume is laughably low – even at max, it sounds like 3 bars out of 10. There’s a constant irritating airflow/humming noise that overpowers the actual audio. Music? Forget it. You’ll only hear cheap buzzing static like some broken radio.This feels like a rip-off sold under the disguise of “earbuds”. The build, sound, and everything about it screams sub-standard, third-class quality. To make things worse, there’s no return option – clearly the seller knows no one would keep this junk after using it once.This product is a pure scam, a waste of money, and honestly, it shouldn’t even be allowed to be sold online. If you’re reading this, do yourself a favor –RUN AWAY FROM THIS PRODUCT WITHOUT ANY SECOND THOUGHT. You will not just regret buying it, you’ll be angry that you ever trusted it.",24 July 2025,1
Just improve bassNot big sound effectANC is not good as we expected,5 May 2025,1
Well it's good I love this product worth moneyAnd it's noise cancelation and all functions working good,19 July 2025,1
"First of all, these ear buds does not have Cover so this is first shock when you receive the product. That means not easy to carry and you have fear of losing buds (though magnet is powerful but little hard push and this may come out). Taking out Buds from the case is a task, and one may feel victory when actually comes out successfully, it is not user friendly. JBL needs to think on this. Fitness of Buds in ear is not so great but not so poor as well. Sound quality of music is an average quality and not at JBL's standard (i am using JBL Tune 510 BT & JBL Cinema SB190 as well). This product is of not that standard in terms of quality. Touch sensors and controls are wokring perfect. Battery perfromance is ok. Call Quality is ok for regular use with 4 mics this works, ANC needs to be more powerful. Pairing more than 1 device is challengin some time and its take time to connect to more than one device.",18 June 2025,1
Nice product value for money spent,5 August 2025,1
"*JBL Wave Buds 2 – Very Disappointing Product**1. It doesn't come with a protective cap.2. Not suitable for making calls.3. It is overpriced, and the call quality is very poor.4. No return option available.I visited the JBL service center and reported that the call volume is too low — it's hard to hear anything in traffic, and the person on the other end also struggles to hear my voice clearly. Shockingly, the service center staff said the call feature works like that by default.Overall, it's a waste of money. I strongly advise **not to buy this product **",21 June 2025,1
"Audio quality is good and better than boat .Boat earbuds only has  base and mid are not clear in it but in jbl, it is balanced after costomising it the sound became goated as per price segment. Design is great, wider functionality,good charging speed,good battry life, and comfi in wearnig for long hour . Recommended product.",20 May 2025,1
"Good bass, volume less when compared to my older akg sound",12 August 2025,1
"I'll list down the pros and cons, but before that here's a story that will explain why I had yo buy these earbuds.In December of 2020 I first bought JBL C115. DEFINITELY THE BEST CHOICE OF HEADPHONES UNDER BUDGET. it lasted 4 years and a little more until 2025, 25th of April I had it in my trouser pockets and unknowingly spun it in the washing machine which damaged the hardware because it lacks water resistance.Therefore, I had to buy JBL WAVE BUDS 2. Tbh the build isn't as good as C115, JBL C115 had a perfect snug fit, it would completely get into my ear and the silicone tip was actually of good quality, maybe the sound and bass isn't as good as WAVE BUDS 2.overall WAVE BUDS 2 takes the trophy when it comes to the sound quality but its performance is EMBARRASSING in ANC, this is pure nonsense, JBL C115 didn't have any ANC yet the snug fit filtered all sounds. But this ANC nonsense in WAVE BUDS 2 is JUST PATHETIC!In Conclusion:Good sound quality, zero compromise in bass.Bad fitting and build.I hope that justifies the 3 stars.",19 May 2025,1
