Review,Date,page_number
"I’ve been using the Motorola G85 5G (8GB RAM, 128GB) for a few days now, and I’m very happy with the performance.✅ Display: The curved pOLED display is bright, smooth, and looks very premium. It feels like a flagship phone.✅ Performance: Everything runs smoothly – from social media apps to multitasking.✅ Battery: Easily lasts a full day with regular use. Fast charging is a bonus.✅ Design: Slim, lightweight, and very stylish.✅ Camera: Good quality photos in daylight. Front camera is decent for selfies.I love the clean Android experience without unnecessary apps. For a price under ₹17,000, this is a great value-for-money smartphone. I would definitely recommend it to others.",11 June 2025,1
"Thank you Amazon for this product. Camera quality is good,Display quality is good. Fast charging supported. Features is very nice. Connectivity is good.",23 July 2025,1
"Excellent product. Speed is ok. Battery ok. no heating issue, super camera quality, easy functionality...",5 August 2025,1
"Nice ,over all good",30 July 2025,1
"It is a great value for money phone but i would still not suggest to buy it because it has a faulty charging port and this is its manufacturing defect, it was working great in the beginning and after one month it has started to have charging problem like not charging sometimes and sometimes turbo charging was not working and many more, and as soon as i brought it to the service center as soon as i told them its a Motorola phone with charging issue they directly asked me whether is it G85 edge and i told yes so they show me 3-4 brand new phones all with same issue all were under warranty and were bought within 1-2 months. They were getting replacement of charging board free of cost but still nobody wants to have their brand new purchased phone to take to service center and open up. And everybody know that once the phone gets opened its never going t be same because service centers  don't use adhesive to glue them as good as it comes from factory there will always be a gap and always a chance to open up someday by its own.",17 April 2025,1
"SUPERB PHONE. SLIM, LIGHT WEIGHT, VERY HANDY, GRIP IS EXCELLENT, RESOLUTION IS EXCELLENT",15 July 2025,1
"Did come with minor issues. Vibration not working. Issue with ringer (sometimes works and sometimes doesn't), says turbo charger but doesn't charge as expected, lock screen to home screen lags a bit which is irritating. Issue with Youtube videos where the screen is overlapped/ glitched, needs to be restarted until it is resolved. Not very impressive with the product. Would choose an IQOO phone over this.P.S: Not sure if this is all because of the Android 15 update.",11 August 2025,1
"Awesome mobile, a premium look, clean Stock android UI, moto branding, Pantone color, Curve display, camera, Moto gestures... everything is good, except.. you can add only one face... fingureprint scanner is not as fast as the neo devices, but, considering the price range.... this is a Loot.... Go for it blindly.. I promise, you won't get the premium feel in this budget segment other that this...",5 August 2025,1
Good.. Easy to handle.. Functionality wise good.Touch screen not very sensible.. Need top tab more on display some times.,5 August 2025,1
Value for moneyCamera quality is goodBattery Backup is little lowHeating is very very low,2 August 2025,1
The mobile company have to plan inbuilt gallery option and all voice call record option network usage data speed options also required but it does not have that otherwise camera gaming performance is too good,18 July 2025,2
Good mobile,30 July 2025,2
nice mobileall performance good,14 July 2025,2
Awesome,15 July 2025,2
Very nice product,8 July 2025,2
Good,10 June 2025,2
Super one... in this price...nice touch screen ...all functions good...,5 August 2025,2
Very nice. Full Paisa 💰 wasoolLight weightGood 🔋 battery backupCamera 📸 quality very nice 👍,31 July 2025,2
Nice everything,27 July 2025,2
Decent Smart phone,9 June 2025,2
Nice,30 June 2025,3
Very good mobile. Very light weight. Happy with the purchase.,26 June 2025,3
Just okk...but at this price there are so many options to get a good deal...like infinix 50s 5g...,15 May 2025,3
Good product,26 June 2025,3
Everything is good,23 June 2025,3
Good experience,26 June 2025,3
Exilant mobile display,20 June 2025,3
All over good phone...,16 June 2025,3
GOOD PERFORMANCE AND EXCELLENT CAMERA,30 April 2025,3
"During the video call, lining on display",6 March 2025,3
Nice phone.thanku Moto.first time usd very happy,7 June 2025,4
"Phone is totally good no doubt in that. But the seller gave us PRE-ACTIVATED device which was used in October 2024, as we were setting up the phone it the slot 2 in the phone was not detecting the SIM card. I Switched the sim 1 to check is there a problem in SIM card but no it was the issue in the SLOT 2 only..!",20 June 2025,4
Good Best for camera Quality value of money 💰,2 June 2025,4
"I recently got my hands on the Motorola G85, and I must say, it’s exceeded my expectations at every turn! The Camera quality is impressive, packed with AI features that take my photos to a whole new level—it feels like having a professional setup right in my pocket. The smooth performance of this device is worth applauding; everything flows effortlessly, whether I'm multitasking or enjoying my favorite apps.This phone is incredibly light and sleek, making it perfect to carry around all day without any bulk. The sound quality is rich and immersive, ideal for music lovers and movie enthusiasts alike. The battery life keeps up with me all day, giving me power when I need it most without constant recharges. And that screen clarity—crystal clear with vibrant colors, it’s a visual treat!Motorola G85 proves that a premium experience doesn't have to come with a premium price tag. Highly recommend it to anyone looking for a reliable, feature-packed smartphone!",28 October 2024,4
Wrost phone,26 July 2025,4
Excellent touch experience with 120hz refresh rate. Excellent display,19 January 2025,4
फोन पर स्पीकर की आवाज नहीं आ रही है,12 July 2025,4
Decent phone for this proce range,10 May 2025,4
Excellent..,15 May 2025,4
"Good smartphone, value for money , Looks a high price smartphone, performance is very good , user friendly , good looking",1 May 2025,4
Battery flop hai,14 June 2025,5
Search history not cleard.,5 February 2025,5
"It is a great phone, maybe even better than I expected, great looks and features, a great android phone with durability",8 March 2025,5
Disgusting productNo battery backupConnectivityFunction close automaticallyPhone quality worst,9 August 2025,5
I called many times amazon Regarding about phone video quality but no one response,26 July 2025,5
"Please don't buy this phone....Phone completely slack...Can't open any apps such as banking apps, amazon app, trading apps....this quite common in this phone...Generally what'sup working fine beyond this phone calls and msgs okay...rest this is useless....",26 June 2025,5
After updating Android 15 finger print is not working. Does anyone know how to fix this issue can anyone help me,18 July 2025,5
Good,10 March 2025,5
veri quick and handy delivery,27 February 2025,5
"Worst phone ever, I've bought this to my mom who is 70 yrs and the touch is not working and hangs a lot, technician came from Amazon when I asked for replacement and now they are saying that since the window for returning is closed they are not taking the phone back. because of this my 17k is held with Amazon without resolution. And great Amazon team is not even responding well to the complaint calls. Worst experience ever",14 May 2025,5
Battery problem,16 April 2025,6
"Looks, Screen ,camera - Good",6 September 2024,6
Very bad experience phone ko lete hi phone ka ear speaker Fata hua nikla,1 July 2025,6
Theek thak hai,5 November 2024,6
Product is good. But don't buy it from amazon because amazon is not authorised selling partner of moto if any issue comes after buying then no support provided from amazon. It is better to buy it from direct moto site or from flipkart.,25 May 2025,6
"Phone quality is awesome and durabile, but why is it mentioned as 3.5mm headphone jack here but phone doesn't provide??",28 June 2025,6
